Nummer,Jahr,Technik,Technik I,Technik II,Technik III,Technik IV,Format,Ausrichtung,Darstellungsformen,Darstellungsformen,Gegenständlich/Ungegenständlich,Motiv,Motiv,Motiv,Motiv,Serie,Helligkeit,Farbigkeit,Paraphrasen,Bildsprache,Titel,Standort,Zus'arbeit,Bildqualität,Bemerkungen,Nummer
0112,a2011,G,,,,,21x30,breit,,,U,,,,,Fst,H2,b,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0112
0113,a2011,Mt,Dd,Fa,B,,21x30,breit,,,U,Sch,,,,Fst,H2,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0113
0114,a2011,Mt,Dd,Aq,B,,21x30,breit,,,U,Sch,,,,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0114
0115,a2011,Mt,Dd,B,T,,21x30,breit,,,UoG,Ar,,,,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0115
0116,a2012,zT,T,C,,,21x30,breit,,,U,,,,,Fst,H4,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0116
0117,a2010,G,,,,,21x30,breit,,,U,,,,,Fst,H3,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0117
0118,a2012,zT,B,Fs,,,21x30,breit,,,U,Ca,,,,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0118
0119,a2011,zT,Dd,B,,,21x30,breit,,,U,Gi,,,,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0119
0120,a2015,B,,,,,21x30,breit,Lwi,sM,U,,,,,Fst,H2,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0120
0121,a2011,G,,,,,21x30,breit,,,Gs,St,F,,,Fst,H2,y,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0121
0122,a2013,zT,Fa,G,,,21x30,breit,,,Gs,St,F,,,Fst,H1,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0122
0123,a2011,T,,,,,21x30,breit,,,UoG,St,F,,,Fst,H3,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0123
0124,a2011,Aq,,,,,21x30,breit,,,UoG,St,F,,,Fst,H1,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0124
0125,a2011,zT,Dd,G,,,21x30,breit,,,U,BiB,,,,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),,,,,0125
